Periodo,Estado,Clave SIINAH,Tipo de sitio,Centro de trabajo,Tipo de visitantes,Nacionalidad,NÃºmero de visitas
01/05/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,300
01/06/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,26010
01/06/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,50954
01/06/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,1001
01/06/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,42859
01/06/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,604
01/06/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,13681
01/06/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,76
01/06/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,5525
01/06/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,40
01/06/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,15863
01/06/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,110
01/06/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,4896
01/06/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2016
01/06/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,27718
01/06/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,16
01/06/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,2189
01/06/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,369
01/07/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,38177
01/07/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,38131
01/07/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,3756
01/07/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,114973
01/07/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,534
01/07/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,10764
01/07/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,136
01/07/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,3040
01/07/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,54
01/07/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,6732
01/07/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,347
01/07/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,14578
01/07/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2382
01/07/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,27845
01/07/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,18
01/07/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,900
01/07/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,458
01/08/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,39552
01/08/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,44399
01/08/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,1700
01/08/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,108864
01/08/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,589
01/08/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,11693
01/08/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,154
01/08/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,2258
01/08/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,58
01/08/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,6256
01/08/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,401
01/08/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,7084
01/08/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2867
01/08/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,27093
01/08/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,62
01/08/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,910
01/08/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,413
01/09/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,41082
01/09/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,56670
01/09/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,3876
01/09/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,115887
01/09/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,648
01/09/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,15729
01/09/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,83
01/09/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,4726
01/09/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,72
01/09/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,23339
01/09/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,204
01/09/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,6301
01/09/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2591
01/09/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,30708
01/09/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,66
01/09/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1780
01/09/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,413
01/10/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,35797
01/10/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,81082
01/10/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,1257
01/10/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,90001
01/10/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,629
01/10/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,24294
01/10/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,72
01/10/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,6540
01/10/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,111
01/10/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,22040
01/10/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,147
01/10/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,13995
01/10/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,5474
01/10/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,35549
01/10/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,28
01/10/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1635
01/10/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,2396
01/11/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,33772
01/11/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,84266
01/11/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,2882
01/11/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,87815
01/11/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,699
